Episode,Single,Double,Triple,Tetris,Total,Score
50,0,0,0,0,0,19.44
100,0,0,0,0,0,17.88
150,0.02,0,0,0,0.002,18.76
200,0,0,0,0,0,19.3
250,0,0,0,0,0,19.46
300,0.16,0,0,0,0.016,23
350,0.1,0,0,0,0.01,22.02
400,0.08,0.02,0,0,0.012,23.42
450,0.22,0,0,0,0.022,24.08
500,0.2,0,0,0,0.02,24.76
550,0.34,0.02,0,0,0.038,28.42
600,0.54,0,0,0,0.054,29.7
650,0.88,0,0,0,0.088,34.6
700,0.7,0,0,0,0.07,34.04
750,0.96,0,0,0,0.096,36.9
800,0.8,0,0,0,0.08,35.96
850,1.34,0.04,0,0,0.142,45.06
900,2.04,0.04,0,0,0.212,54.78
950,2.64,0.1,0,0,0.284,63.48
1000,2.6,0,0,0,0.26,62.38
1050,3.64,0.06,0.02,0,0.382,79.7
1100,3.52,0.02,0,0,0.356,73.76
1150,4.72,0.12,0.02,0,0.502,96.86
1200,5.16,0.28,0.04,0,0.584,109.32
1250,5.98,0.2,0.02,0.02,0.652,118.08
1300,6.94,0.28,0.04,0,0.762,131.24
1350,9.1,0.58,0.06,0,1.044,172.6
1400,12,1,0.22,0.04,1.482,247.66
1450,11.24,1.52,0.24,0.06,1.524,265.38
1500,11.44,2.08,0.26,0.12,1.686,304.76
1550,14.36,2.02,0.44,0.2,2.052,366.16
1600,16.68,3.12,0.78,0.24,2.622,482.34
1650,15.78,2.76,0.62,0.24,2.412,433.14
1700,25.46,3.74,0.7,0.26,3.608,609.68
1750,20.82,3.06,0.6,0.44,3.05,543.94
1800,22.4,3.02,0.44,0.18,3.048,508.72
1850,19.22,2.4,0.62,0.14,2.644,450.22
1900,21.56,2.96,0.52,0.1,2.944,486.74
1950,22.2,2.44,0.46,0.14,2.902,473.32
2000,20.52,2.88,0.62,0.18,2.886,491.5
2050,19.28,2.46,0.66,0.16,2.682,459.86
2100,19.52,3.6,0.88,0.28,3.048,557.24
2150,24.3,3.26,0.6,0.2,3.342,558.82
2200,20.88,2.24,0.56,0.1,2.744,450.88
2250,24.4,3.42,0.46,0.12,3.31,533.64
2300,26.86,3.24,0.48,0.22,3.566,579.48
