Episode,Single,Double,Triple,Tetris,Total,Score
50,0,0,0,0,0,18.72
100,0,0,0,0,0,18.6
150,0.02,0,0,0,0.02,18.7
200,0,0,0,0,0,18.24
250,0,0,0,0,0,19.36
300,0.06,0,0,0,0.06,19.78
350,0.16,0,0,0,0.16,23.26
400,0.2,0,0,0,0.2,24.88
450,0.26,0.02,0,0,0.3,26.96
500,0.14,0,0,0,0.14,24.04
550,0.46,0,0,0,0.46,27.52
600,0.5,0.02,0,0,0.54,31.8
650,0.56,0,0,0,0.56,30.84
700,0.72,0.04,0,0,0.7999999999999999,36.86
750,0.76,0.02,0,0,0.8,36.08
800,1.28,0.02,0,0,1.32,42.94
850,1.32,0.02,0,0,1.36,45.16
900,1.34,0,0,0,1.34,44.5
950,1.5,0.1,0,0,1.7,48.9
1000,2.36,0.1,0,0,2.56,62.46
1050,2.64,0.04,0,0,2.72,62.58
1100,2.98,0.1,0,0,3.18,69.28
1150,3.54,0.1,0.02,0,3.8000000000000003,80.86
1200,4.02,0.28,0.02,0,4.64,94.16
1250,5.68,0.56,0.08,0,7.04,133.3
1300,5.94,0.44,0.08,0,7.0600000000000005,130.76
1350,6.34,0.66,0.16,0,8.14,153.3
1400,5.68,0.8,0.16,0.02,7.84,153.3
1450,9.26,1.64,0.28,0.1,13.78,260.48
1500,9.62,2.02,0.52,0.18,15.940000000000001,315.52
1550,10.96,2.46,0.66,0.22,18.74,368.32
1600,8.4,2.62,0.62,0.2,16.3,335.4
1650,11.32,3.06,0.74,0.34,21.02,429.68
1700,11,3.1,0.78,0.22,20.419999999999998,415.64
