
Episode,Single,Double,Triple,Tetris,Total,Score
50,0,0,0,0,0,18.56
100,0.02,0,0,0,0.02,18.24
150,0.04,0,0,0,0.04,18.8
200,0,0,0,0,0,18.24
250,0.12,0,0,0,0.12,21
300,0.1,0,0,0,0.1,22.32
350,0.16,0,0,0,0.16,23.56
400,0.12,0,0,0,0.12,22.2
450,0.18,0,0,0,0.18,24.1
500,0.42,0,0,0,0.42,27.32
550,0.42,0.02,0,0,0.45999999999999996,29.92
600,0.52,0.06,0,0,0.64,32.7
650,0.78,0,0,0,0.78,34.86
700,0.74,0.02,0,0,0.78,34.46
750,0.96,0,0,0,0.96,37.96
800,1.36,0.02,0,0,1.4000000000000001,43.7
850,1.52,0.06,0,0,1.6400000000000001,48.58
900,1.7,0.04,0,0,1.78,49.62
950,2.2,0.06,0,0,2.3200000000000003,57.06
1000,2.5,0.12,0,0,2.74,64.3
1050,3.2,0.08,0,0,3.3600000000000003,73.02
1100,3.88,0.18,0,0,4.24,86.32
1150,4,0.16,0,0,4.32,85.98
1200,6.22,0.24,0.02,0,6.759999999999999,118.26
1250,6.6,0.26,0,0,7.119999999999999,122.6
1300,6.98,0.42,0.1,0.02,8.200000000000001,146.72
1350,8.8,0.62,0.2,0.04,10.8,190.64
1400,6.66,0.8,0.08,0.06,8.74,165.08
1450,8.38,0.92,0.16,0.06,10.940000000000001,198.8
1500,13.4,1.74,0.24,0.12,18.08,313.08
1550,15.84,2.46,0.48,0.28,23.32,420.2
1600,23.02,3.52,0.82,0.4,34.12,608.54
1650,17.82,3.28,0.78,0.28,27.84,507.62
1700,18.04,3.2,0.9,0.24,28.099999999999998,512.74
1750,19.9,4.28,0.94,0.4,32.88,612.82
1800,20.52,3.66,0.66,0.18,30.54,532.72
1850,21.52,3.88,0.9,0.2,32.78,575.1
1900,18.38,2.98,0.66,0.18,27.04,469.98
1950,21.02,3.46,0.7,0.2,30.84,526.32
2000,23.52,3.04,0.66,0.28,32.7,551.96
2050,23.16,3.46,0.86,0.18,33.379999999999995,566.74
2100,23.58,3.92,0.6,0.38,34.74,604.34
2150,19.14,3.44,0.46,0.2,28.2,486.74
2200,21.18,3.36,0.62,0.2,30.56,525.3
2250,18.1,3.4,0.7,0.26,28.04,501.22
2300,19.64,3.84,0.72,0.28,30.6,548.08
2350,19.38,2.86,0.74,0.2,28.119999999999997,491.96
2400,15.06,2.92,0.6,0.2,23.5,429.94
2450,25.24,4.1,0.88,0.16,36.72,623.32
2500,23.28,3.48,0.6,0.28,33.16,566.46
2550,21.58,3.68,0.84,0.16,32.099999999999994,557.64
2600,19.58,2.9,0.84,0.16,28.54,494.22
2650,21.9,3.48,0.58,0.18,31.319999999999997,527.7
2700,19.48,2.96,0.52,0.2,27.759999999999998,475.2
2750,24.46,3.58,0.56,0.18,34.02,565.46
2800,24.38,2.98,0.9,0.24,34.0,584.1
2850,20.1,3.18,0.72,0.24,29.580000000000002,521.66
2900,24.12,4.16,0.78,0.26,35.82,617.48
2950,22.06,4.4,0.9,0.24,34.52,611.38
3000,22.34,3.68,0.78,0.18,32.76,561.44
3050,16.4,2.78,0.56,0.24,24.599999999999998,443.78
3100,23.52,3.7,0.9,0.16,34.260000000000005,588.5
3150,25.7,3.26,0.56,0.26,34.94,579.28
3200,17.18,3.1,0.5,0.12,25.36,441.38
3250,18.78,2.66,0.68,0.26,27.18,476.78
3300,22.38,3.06,0.62,0.18,31.08,521.06
3350,24.92,4.2,1,0.18,37.04,639.06
3400,22,3.48,0.62,0.32,32.1,561.08
3450,25.76,3.86,0.66,0.14,36.02,597.16
3500,24.98,3.34,0.96,0.2,35.339999999999996,598.84
3550,21.74,3.54,1.1,0.28,33.239999999999995,594.52
3600,23.62,4.34,0.84,0.44,36.58,654.34
3650,21.08,4.12,1.1,0.26,33.66,616.48
3700,19.76,3.28,0.54,0.16,28.580000000000002,486.46
3750,26.94,4.76,1.04,0.38,41.1,724.52
3800,22.76,3.76,0.86,0.26,33.9,595.96
3850,16.52,3.2,0.7,0.2,25.820000000000004,467.56
3900,22.42,3.48,0.8,0.18,32.5,557.44
3950,18.2,3.02,0.6,0.22,26.919999999999998,470.3
4000,25.72,4.42,0.82,0.34,38.38,668.02
4050,21.64,3.1,0.56,0.12,30.0,501.18
4100,19.44,2.9,0.6,0.24,28.000000000000004,486.78
4150,18.86,3.24,0.8,0.1,28.14,491.14
