Episode,Single,Double,Triple,Tetris,Total,Score
50,0,0,0,0,0,18.7
100,0,0,0,0,0,19.14
150,0,0,0,0,0,19.98
200,0.02,0,0,0,0.02,20.1
250,0,0,0,0,0,19.84
300,0.06,0,0,0,0.06,22.28
350,0.08,0,0,0,0.08,23.4
400,0.18,0,0,0,0.18,25.9
450,0.16,0,0,0,0.16,24.94
500,0.48,0,0,0,0.48,28.92
550,0.48,0.02,0,0,0.52,31.82
600,0.48,0,0,0,0.48,29.88
650,0.68,0,0,0,0.68,34.16
700,0.94,0.04,0,0,1.02,40.58
750,1.22,0.02,0,0,1.26,41.94
800,1.68,0.04,0,0,1.76,49.3
850,1.28,0.04,0,0,1.36,46.46
900,1.9,0.06,0,0,2.02,54.74
950,2.28,0.04,0,0,2.36,59.52
1000,2.5,0.06,0,0,2.62,62.5
1050,2.82,0.04,0,0,2.9,67.38
1100,3.04,0.14,0,0,3.3200000000000003,74.22
1150,3.7,0.18,0,0,4.0600000000000005,83.16
1200,5.62,0.28,0.04,0,6.3,117.68
1250,5.3,0.22,0.04,0,5.86,109.66
1300,6.34,0.56,0.02,0.02,7.6,138.62
1350,5.44,0.78,0.12,0.04,7.5200000000000005,151.68
1400,7.04,0.64,0.18,0.06,9.1,168.3
1450,6.86,1.36,0.3,0.1,10.88,221.28
1500,11.04,1.72,0.28,0.1,15.719999999999999,283.12
1550,15.22,2.86,0.7,0.22,23.919999999999998,443.5
1600,18.96,3.9,0.98,0.18,30.42,547.94
1650,19.42,4.28,0.74,0.2,31.000000000000004,556.92
1700,14.32,3.98,0.78,0.36,26.060000000000002,511.68
1750,14.5,3.76,0.84,0.18,25.259999999999998,479
1800,12.14,2.8,0.66,0.2,20.520000000000003,398.58
1850,13.68,3.06,0.64,0.12,22.2,406.9
1900,16.9,3.42,0.9,0.32,27.72,520.32
1950,19.08,4.94,0.9,0.26,32.7,604.84
2000,17.8,4.64,0.96,0.34,31.319999999999997,589.66
2050,11.9,3.38,0.8,0.22,21.94,440.46
2100,16.28,3.54,0.82,0.24,26.78,501.64
2150,13.62,2.98,0.62,0.16,22.08,410
2200,14.5,3.06,0.7,0.32,24.0,456.56
2250,19.6,3.6,0.72,0.2,29.76,526.18
2300,18.08,4.16,0.7,0.18,29.22,519.16
2350,17.58,3.82,1,0.32,29.5,553.48
2400,14.42,3.2,0.66,0.34,24.16,457.56
2450,17.92,3.66,0.82,0.2,28.500000000000004,512.26
2500,13.32,3.64,0.68,0.18,23.36,442.28
2550,16.22,3.78,0.7,0.32,27.159999999999997,506.3
2600,16.3,3.78,0.58,0.22,26.479999999999997,481.64
2650,15.3,3.68,1,0.46,27.5,539.34
2700,15.7,3.9,0.76,0.24,26.740000000000002,497.56
2750,18.8,3.56,0.7,0.24,28.980000000000004,517.88
2800,14.8,3.46,0.58,0.18,24.179999999999996,440.26
2850,18.74,4.3,0.52,0.16,29.539999999999996,516.44
2900,18.46,3.52,0.7,0.24,28.560000000000002,509
2950,18.8,3.5,0.78,0.3,29.34,529.58
3000,17.22,3.3,0.72,0.24,26.94,488.22
3050,18.46,3.46,0.66,0.24,28.320000000000004,503.52
