Episode,Single,Double,Triple,Tetris,Total,Score
50,0,0,0,0,0,19.56
100,0,0,0,0,0,19.5
150,0,0,0,0,0,18.5
200,0.04,0,0,0,0.04,19.12
250,0,0,0,0,0,20.34
300,0.02,0,0,0,0.02,20.56
350,0.14,0,0,0,0.14,22.96
400,0.1,0,0,0,0.1,23.74
450,0.2,0.02,0,0,0.24000000000000002,26.64
500,0.26,0.04,0,0,0.34,27.88
550,0.3,0,0,0,0.3,27.36
600,0.4,0,0,0,0.4,29.58
650,0.36,0,0,0,0.36,29.5
700,0.5,0,0,0,0.5,32.18
750,0.7,0.02,0,0,0.74,36.34
800,0.64,0.04,0.02,0,0.78,36.34
850,0.88,0.04,0,0,0.96,39.4
900,1.26,0.08,0,0,1.42,47.58
950,1.44,0.04,0,0,1.52,47.62
1000,1.8,0.28,0,0,2.3600000000000003,64.46
1050,1.28,0.14,0,0,1.56,51.68
1100,2.24,0.14,0.02,0,2.5800000000000005,66.4
1150,2.12,0.18,0,0.02,2.56,67
1200,3.3,0.34,0.12,0,4.34,98.94
1250,2.96,0.4,0.04,0.02,3.96,90.14
1300,4.76,0.4,0.06,0,5.739999999999999,113.78
1350,4.66,0.56,0.1,0.06,6.32,133.16
1400,5.1,1,0.2,0,7.699999999999999,156.64
1450,4.38,0.98,0.2,0.04,7.1,153.48
1500,5,1.18,0.16,0.1,8.24,172.36
1550,3.88,1.16,0.26,0.14,7.539999999999999,183.54
1600,6.94,1.3,0.48,0.14,11.540000000000001,240.52
1650,6.22,1.24,0.26,0.08,9.799999999999999,200.9
1700,7.9,1.74,0.44,0.12,13.180000000000001,264.36
1750,6.82,1.56,0.3,0.04,11.000000000000002,218.18
1800,11.1,2.02,0.44,0.08,16.78,306.38
1850,7.62,2.18,0.52,0.16,14.180000000000001,288.94
1900,8.3,1.78,0.48,0.2,14.100000000000001,291.42
1950,7.44,2.34,0.54,0.24,14.700000000000003,312.74
2000,5,1.56,0.36,0.28,10.32,240.82
2050,3.92,0.92,0.16,0.26,7.28,177.22
2100,3.86,1.3,0.34,0.22,8.360000000000001,207.76
2150,4.4,1.14,0.26,0.12,7.9399999999999995,176.46
2200,5.86,1.06,0.28,0.14,9.38,201.78
2250,4.74,1,0.18,0.08,7.6000000000000005,158.04
2300,5.34,1.14,0.22,0.08,8.6,182.08
2350,7.18,1.18,0.28,0.2,11.18,233.68
2400,3.64,1.04,0.16,0.1,6.600000000000001,149.92
2450,4.42,0.8,0.22,0.08,7.0,158.5
2500,4.78,0.84,0.36,0.1,7.94,172.94
2550,5.76,0.96,0.36,0.08,9.08,189.88
2600,3.72,0.84,0.18,0.08,6.260000000000001,142.08
