Episode,Single,Double,Triple,Tetris,Total,Score
50,0,0,0,0,0,3.92
100,0,0,0,0,0,3.98
150,0.02,0,0,0,0.02,3.84
200,0,0,0,0,0,4.2
250,0.06,0,0,0,0.06,4.16
300,0,0,0,0,0,3.98
350,0.06,0,0,0,0.06,3.98
400,0.1,0,0,0,0.1,4.56
450,0.04,0,0,0,0.04,4.02
500,0.08,0,0,0,0.08,3.94
550,0.08,0,0,0,0.08,4.52
600,0.02,0,0,0,0.02,4.14
650,0.04,0,0,0,0.04,4.14
700,0.04,0,0,0,0.04,4.08
750,0.3,0,0,0,0.3,4.94
800,0.02,0,0,0,0.02,4.36
850,0.06,0,0,0,0.06,4.16
900,0.2,0,0,0,0.2,4.7
950,0.1,0.02,0,0,0.14,4.48
1000,0.12,0,0,0,0.12,4.38
1050,0.08,0,0,0,0.08,4.58
1100,0.22,0,0,0,0.22,4.9
1150,0.12,0,0,0,0.12,4.76
1200,0.24,0,0,0,0.24,5.3
1250,0.22,0,0,0,0.22,5.4
1300,0.3,0.04,0,0,0.38,6.82
1350,0.38,0,0,0,0.38,6.18
1400,0.26,0.04,0,0,0.34,6.1
1450,0.44,0,0,0,0.44,6.8
