Episode,Single,Double,Triple,Tetris,Total,Score
50,0,0,0,0,0,18.14
100,0.02,0.02,0,0,0.006,20.7
150,0.06,0,0,0,0.006,20.9
200,0.16,0,0,0,0.016,23.2
250,0.1,0,0,0,0.01,23.44
300,0.5,0.06,0,0,0.062,34.94
350,1.4,0.12,0.02,0,0.17,53.56
400,4.74,0.6,0.04,0.02,0.614,121.68
450,3.04,0.52,0.1,0.02,0.446,102.96
500,0.24,0.04,0.02,0,0.038,40.58
550,2.8,0.26,0,0.02,0.34,80.62
600,0.92,0.04,0,0,0.1,45.44
650,0.16,0,0,0,0.016,32.74
700,0.18,0,0,0,0.018,30.58
750,0.1,0,0,0,0.01,30.74
800,1.04,0.04,0,0,0.112,45.8
850,0.54,0.08,0,0,0.07,42.58
900,0.04,0,0,0,0.004,30.26
950,0.02,0,0,0,0.002,29.4
1000,0.04,0,0,0,0.004,30.4
1050,0,0,0,0,0,26.48
