Episode,Single,Double,Triple,Tetris,Total,Score
50,0.06,0,0,0,0.006,19.48
100,0,0,0,0,0,19.94
150,0,0,0,0,0,17.84
200,0,0,0,0,0,18.62
250,0,0,0,0,0,19.06
300,0,0,0,0,0,19.6
350,0.02,0,0,0,0.002,20.28
400,0.04,0,0,0,0.004,20.24
450,0.02,0,0,0,0.002,20.2
500,0,0,0,0,0,20.38
550,0.04,0,0,0,0.004,20.72
600,0,0,0,0,0,21.14
650,0.04,0,0,0,0.004,21.72
700,0.02,0,0,0,0.002,22.26
750,0.02,0,0,0,0.002,22.34
800,0.06,0,0,0,0.006,22.96
850,0.08,0,0,0,0.008,24.12
900,0.08,0,0,0,0.008,23.54
950,0.02,0,0,0,0.002,25.2
1000,0.06,0,0,0,0.006,25.76
1050,0.1,0,0,0,0.01,27.76
1100,0.02,0,0,0,0.002,26.66
1150,0.18,0,0,0,0.018,31.24
1200,0.1,0,0,0,0.01,28.84
1250,0.08,0,0,0,0.008,30.14
1300,0.08,0,0,0,0.008,28.3
1350,0.38,0.04,0,0,0.046,35.72
1400,0.46,0,0,0,0.046,35.68
1450,0.48,0,0,0,0.048,38.3
1500,0.38,0,0,0,0.038,36.58
1550,0.3,0.02,0,0,0.034,37.1
1600,0.8,0.08,0,0,0.096,45.7
1650,0.72,0.04,0.02,0,0.086,42.98
1700,0.86,0.18,0,0,0.122,49.24
1750,0.74,0.1,0.02,0.02,0.108,47.92
1800,0.5,0.06,0.06,0.02,0.088,45.32
1850,0.78,0.06,0,0,0.09,40.84
