Episode,Single,Double,Triple,Tetris,Total,Score
50,0.02,0,0,0,0.002,19.5
100,0.02,0,0,0,0.002,19.24
150,0.06,0,0,0,0.006,21.74
200,0,0,0,0,0,21.98
250,0,0,0,0,0,22.38
300,0.02,0,0,0,0.002,25.8
350,0.1,0,0,0,0.01,29.26
400,0.24,0,0,0,0.024,34.98
450,0.94,0.06,0.02,0,0.112,43.84
500,2.04,0.04,0,0,0.212,53.82
550,1.44,0.14,0,0,0.172,47.88
600,0.84,0.04,0,0,0.092,36.92
650,0.72,0.04,0,0,0.08,36.7
700,0.86,0.04,0,0,0.094,40.48
750,1.3,0.08,0,0,0.146,45.42
800,1.04,0.08,0,0,0.12,43.66
850,1.52,0.1,0,0,0.172,52.68
900,1.32,0.06,0,0,0.144,46.86
950,0.9,0.1,0,0,0.11,45.34
1000,0.5,0.02,0,0,0.054,35.4
1050,0.16,0,0,0,0.016,31.1
1100,14.84,1.08,0.18,0,1.754,274.14
1150,28.02,2.04,0.28,0,3.294,485.3
1200,21.74,1.44,0.16,0,2.51,375.02
1250,20.18,1.36,0.14,0.02,2.34,352.5
1300,3.08,0.14,0,0,0.336,73.98
1350,0.7,0.04,0,0,0.078,39.14
1400,0.38,0,0,0,0.038,33.12
1450,0.06,0,0,0,0.006,26.54
