Episode,Single,Double,Triple,Tetris,Total,Score
50,0.74,0.02,0,0,0.078,32.7
100,7.4,0.14,0,0,0.768,128.98
150,9.44,0.32,0.02,0,1.014,164.46
200,5.34,1.08,0.14,0.04,0.808,163.4
250,4.62,1.12,0.4,0.04,0.822,180.3
300,2,0.36,0.14,0.04,0.33,89.04
350,2.46,0.24,0.02,0,0.3,72.88
400,3.92,0.56,0.1,0.02,0.542,119.06
450,3.02,0.5,0.14,0,0.444,105.42
500,2.34,0.46,0.12,0,0.362,89.52
550,2.6,0.62,0.12,0.02,0.428,98.52
600,1.98,0.52,0.14,0.08,0.376,99.14
650,2.96,0.58,0.16,0.04,0.476,114.82
700,7.26,1.44,0.32,0,1.11,211.26
750,12.5,0.78,0.06,0.02,1.432,226.24
800,7.94,0.34,0.06,0,0.88,148.96
850,7.06,0.62,0.1,0.04,0.876,162.32
900,6.4,0.72,0.08,0.1,0.848,167.58
950,7.72,1.06,0.08,0.02,1.016,182.24
1000,6.7,0.64,0.2,0.04,0.874,166.84
1050,8.24,0.9,0.22,0.08,1.102,204.26
1100,6.6,1.02,0.16,0.02,0.92,174.98
1150,3.92,0.58,0.08,0.06,0.556,118.74
